track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,True,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,3.8952166666666668
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,4yP0hdKOZPNshxUOjY0cZj,True,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,3.334
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,True,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,3.4906333333333337
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True,0.501,0.405,1,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,3.036016666666667
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,True,0.585,0.52,5,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,3.6357833333333334
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.755,0.522,2,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,2.626
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,40GMAhriYJRO1rsY4YdrZb,True,0.792,0.625,1,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,2.899783333333333
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,0rSLgV8p5FzfnqlEk4GzxE,True,0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,4.082666666666666
0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,33pt9HBdGlAbRGBHQgsZsU,True,0.776,0.78,10,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,3.4057833333333334
0TK2YIli7K1leLovkQiNik,Señorita,Señorita,2ZaX1FdZCwchXl1QZiD4O4,True,0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,3.182666666666667
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ,True,0.591,0.764,1,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,2.3634333333333335
0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,True,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,4.39
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,True,0.358,0.557,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,3.5244500000000003
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,True,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,3.2348
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Heat Waves,69K1zrf6TkXHdYUO8n2qVi,True,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.9800833333333334
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,True,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,4.692666666666667
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ,True,0.511,0.566,6,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,3.997266666666667
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,True,0.793,0.793,11,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95,3.0548333333333333
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,1ATL5GLyefJaxhQzSPVrLX,True,0.754,0.449,7,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,3.316216666666667
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,2ODvWsOgouMbaA5xf0RkJe,True,0.679,0.587,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,3.840883333333333
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,True,0.351,0.296,4,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,3.3364333333333334
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,7xV2TzoaVc0ycW7fwBwAml,True,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,2.9
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,True,0.614,0.379,4,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,4.316450000000001
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (2011 Remaster),1GbtB4zTqAsyfZEsm1RZfx,True,0.392,0.402,0,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,5.905333333333333
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,True,0.617,0.635,11,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.1193333333333335
2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,True,0.572,0.385,7,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,3.5955500000000002
3ee8Jmje8o58CHK66QrVC2,SAD!,?,2Ti79nwTsont5ZHfdxIzAm,True,0.74,0.613,8,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,2.7767666666666666
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,True,0.609,0.378,4,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,3.8953333333333333
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,3.588
3U4isOIWM3VvDubwSI3y7a,All of Me,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC,True,0.422,0.264,8,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,4.492666666666667
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier,0Uv83rRhY5QvHKkQoULRKk,True,0.566,0.664,4,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,4.028216666666667
1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,33pt9HBdGlAbRGBHQgsZsU,True,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,3.1191166666666663
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,True,0.778,0.317,1,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,2.977116666666667
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,True,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.006666666666667
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt,True,0.841,0.728,7,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049,4.06395
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,5VdyJkLe3yvOs0l4xXbWp0,True,0.872,0.391,0,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,1.98555
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,2vD3zSQr8hNlg0obNel4TE,True,0.765,0.523,2,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,3.6217833333333336
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,True,0.732,0.75,11,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096,3.0451166666666665
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,True,0.734,0.637,4,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,3.3722166666666666
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,True,0.762,0.7,9,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,3.4886666666666666
7BqHUALzNBTanL6OvsqmC1,Happier,Happier,78EicdHZr5XBWD7llEZ1Jh,True,0.687,0.792,5,-2.749,0.0452,0.191,0.0,0.167,0.671,100.011,3.5715
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,4eLPsYPBmXABThSJ821sqY,True,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,2.95
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,True,0.834,0.73,8,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008,5.213666666666667
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Native,20lOt6G8MHv8ZO7ViOmiP7,True,0.664,0.705,1,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,4.2877833333333335
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,All The Little Lights,2mylGx7w2Q3yhUyN8iEWOF,True,0.479,0.545,7,-7.346,0.0688,0.365,0.0,0.0963,0.243,74.897,4.2122166666666665
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,TRUE,1s9tU91VJt4sU5owi29GD3,True,0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.123783333333333
3JvrhDOgAt6p7K8mDyZwRd,Riptide,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,True,0.484,0.731,1,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,3.4046666666666665
09CtPGIpYB4BrO8qb1RGsF,Sorry,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,True,0.654,0.76,0,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,3.34645
7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,True,0.585,0.564,0,-7.063,0.0515,0.0671,0.0,0.135,0.137,113.003,4.03755
01aTsQoKoeXofSTvKuunzv,Lean On,Peace Is The Mission : Extended,2U0b5MfkMUgzdvRUI69mya,True,0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,2.9426833333333335
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,02sEJTj1sye1JaqxqpcSCp,True,0.649,0.716,8,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,3.4324500000000002
0zLCBJZSiELJf02ucPP9wb,Roses - Imanbek Remix,Roses (Imanbek Remix),3GqSdhWjmMypMwPLtzoFYs,True,0.769,0.719,8,-5.472,0.0474,0.0143,0.00777,0.359,0.863,121.955,2.947783333333333
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),The Heist,76FXHQhTuT4QMIxfL09gX8,True,0.641,0.922,2,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,4.305716666666667
4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,6s84u2TUpR3wdUv4NgKA2j,True,0.563,0.664,9,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,2.9691166666666664
7dt6x5M1jzdTEt8oCbisTK,Better Now,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,True,0.68,0.578,10,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,3.85445
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Stoney (Deluxe),5s0rmjP8XOPhP6HhqOhuyC,True,0.63,0.804,6,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146,3.6715500000000003
698ItKASDavgwZ3WjaWjtz,Faded,Different World,3nzuGtN3nXARvvecier4K0,True,0.468,0.627,6,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,3.5351166666666667
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,True,0.791,0.862,9,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,3.5807833333333337
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Illuminate,1ne2D0NxoGyZd31gAM4HNd,True,0.444,0.819,10,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,3.1328833333333335
5wANPM4fQCJwkGd4rN57mH,drivers license,SOUR,6s84u2TUpR3wdUv4NgKA2j,True,0.561,0.431,10,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4.03355
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,In The Lonely Hour,08jWgM4vSkTose4blKBWov,True,0.418,0.42,0,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,2.8787333333333334
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,Don't Let Me Down,2SByipSK8eZ2pasaIwwzhf,True,0.532,0.869,11,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,3.4728833333333333
5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,0zzrCTzvL4ZmR42xF46Afm,True,0.752,0.488,6,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,3.3610166666666665
0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",6Phl1V5P0sPrWJytXHGFeO,True,0.664,0.714,7,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,3.2988833333333334
4Dvkj6JhhA12EX05fT7y2e,As It Was,As It Was,2pqdSWeJVsXAhHFuVLzuA8,True,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,2.7883833333333334
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Uptown Special,3vLaOYCNCzngDf8QdBg2V1,True,0.856,0.609,0,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4.4944500000000005
