track_id,track_name,album_name,album_id,popular
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7 EP,4IRiXE5NROxknUSAUSjMoO,True
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,True
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),0xzScN8P3hQAz3BT3YYX5w,True
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,True
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True
1tNJrcVe6gwLEiZCtprs1u,3 Nights,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,True
5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,0zzrCTzvL4ZmR42xF46Afm,True
0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,True
2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,True
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,IGOR,5zi7WsKlIiUXv09tbGLKsE,True
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,0ix3XtPV1LwmZADsprKxcp,True
3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Cuz I Love You (Super Deluxe),2KJjOBX280F3hZZE1xO33O,True
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True
27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,True
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Hyperion,0JA38Ekhsv43y2lBj5GQkQ,True
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Higher Love,4wquJImu8RtyEuDtIAsfcE,True
6UnCGAEmrbGIOSmGRZQ1M2,Light On,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,True
6KgBpzTuTRPebChN0VTyzV,Good as Hell,Cuz I Love You (Super Deluxe),7hBV0wo7cDHZQLYnuOJ312,True
6QQtHdz4PNJWQX4nrAQGC9,Slide Away,SHE IS COMING,45wbw92Z6V8G8iPKFzSEPN,True
