track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,True,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,2.79
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,5bfpRtBW7RNRdsm3tRyl3R,True,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3.98
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ,True,0.591,0.764,1,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,2.36
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,True,0.911,0.712,1,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,2.98
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,True,0.65,0.715,5,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,4.06
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),5D8Rdb09BkmHscEGSWAlA6,True,0.796,0.798,1,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,3.38
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],1bTgKomQYSkKYPD9UI9W4b,True,0.728,0.783,11,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,2.89
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",4PNqWiJAfjj32hVvlchV5u,True,0.621,0.782,2,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,3.32
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,True,0.647,0.686,3,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4.3
1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Hounds Of Love,5G5UwqPsxDKpxJLX4xsyuh,True,0.629,0.545,10,-13.123,0.0546,0.719,0.00308,0.0604,0.194,108.376,4.98
