track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,7 EP,4IRiXE5NROxknUSAUSjMoO,True,0.878,0.619,6,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,2.62
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,True,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,3.23
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),0xzScN8P3hQAz3BT3YYX5w,True,0.759,0.548,9,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,3.18
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,True,0.778,0.317,1,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,2.98
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.755,0.522,2,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,2.63
1tNJrcVe6gwLEiZCtprs1u,3 Nights,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,True,0.815,0.518,7,-6.594,0.0897,0.223,0.0,0.104,0.877,151.891,2.96
5p7ujcrUXASCNwRaWNHR1C,Without Me,Without Me,0zzrCTzvL4ZmR42xF46Afm,True,0.752,0.488,6,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,3.36
0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,True,0.641,0.559,7,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,3.37
2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,True,0.572,0.385,7,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,3.6
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,IGOR,5zi7WsKlIiUXv09tbGLKsE,True,0.554,0.498,9,-8.866,0.0685,0.23,5.98e-06,0.795,0.413,79.635,3.17
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True,0.501,0.405,1,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,3.04
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,0ix3XtPV1LwmZADsprKxcp,True,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,3.05
3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Cuz I Love You (Super Deluxe),2KJjOBX280F3hZZE1xO33O,True,0.715,0.624,4,-3.046,0.114,0.11,0.0,0.123,0.412,158.087,2.89
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,3.59
27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,True,0.601,0.794,7,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,3.62
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Hyperion,0JA38Ekhsv43y2lBj5GQkQ,True,0.658,0.671,2,-12.21,0.0363,0.0933,0.000927,0.115,0.166,100.966,3.37
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Higher Love,4wquJImu8RtyEuDtIAsfcE,True,0.693,0.678,8,-7.159,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,3.8
6UnCGAEmrbGIOSmGRZQ1M2,Light On,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,True,0.657,0.569,2,-6.287,0.0542,0.201,1.38e-05,0.126,0.399,102.054,3.9
6KgBpzTuTRPebChN0VTyzV,Good as Hell,Cuz I Love You (Super Deluxe),7hBV0wo7cDHZQLYnuOJ312,True,0.682,0.919,0,-3.18,0.0875,0.256,0.0,0.442,0.535,95.982,2.66
6QQtHdz4PNJWQX4nrAQGC9,Slide Away,SHE IS COMING,45wbw92Z6V8G8iPKFzSEPN,True,0.534,0.538,5,-6.673,0.0327,0.173,2.82e-06,0.248,0.289,148.016,3.89
5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,True,0.807,0.887,1,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015,3.82
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,1NAmidJlEaVgA3MpcPFYGq,True,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,2.97
0DiDStADDVh3SvAsoJAFMk,Only Human,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,True,0.795,0.496,0,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,3.05
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),Free Spirit,6KT8x5oqZJl9CcnM66hddo,True,0.9,0.4,0,-8.575,0.127,0.0516,0.0,0.0599,0.346,135.984,3.29
7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),6X9k3hSsvQck2OfKYdBbXr,True,0.392,0.402,0,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,5.91
7qvsl2pYzrsYgPeFBN5jxp,Juicy,Juicy,4gr1eiDfKDgoXT9HX2EdNT,True,0.786,0.658,0,-2.61,0.0661,0.0856,0.0,0.0689,0.458,170.037,3.37
2tnVG71enUj33Ic2nFN6kZ,Ride It,Ride It,4zOhjJfe0dwqsNdDYk622E,True,0.88,0.751,7,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2.63
